id(NEW_DATASET),author,title,coverdate,disc_name,doi,id,jcode,journal,year
http://www.jstor.org/stable/41059781,['HILARY FRASER'],['Women and the Art of Fiction'],['20100101'],"['Language & Literature', 'Humanities']",10.2307/41059781,11f8497f-6c69-3bd9-9ce5-55b485cb1a40,['yearenglstud'],The Yearbook of English Studies,2010
http://www.jstor.org/stable/2928567,['Simon During'],"['The Strange Case of Monomania: Patriarchy in Literature, Murder in Middlemarch, Drowning in Daniel Deronda']",['19880701'],"['Language & Literature', 'Humanities']",10.2307/2928567,668cc77e-64ec-3b5c-9898-9563b5b98f4d,['representations'],Representations,1988
http://www.jstor.org/stable/25088885,['Judith M. Hughes'],['Self-Suppression & Attachment: Mid-Victorian Emotional Life'],['19781001'],"['Humanities', 'Language & Literature']",10.2307/25088885,eac3fdca-69f2-34c5-80fe-68f7d185a814,['massreview'],,1978
http://www.jstor.org/stable/462077,"['David-Everett Blythe', 'Joseph Wiesenfarth']",['The Language of Art'],['19830101'],"['Humanities', 'Language & Literature']",10.2307/462077,1e9e8756-d436-3643-ba46-82f247d4a621,['pmla'],,1983
http://www.jstor.org/stable/42827730,['DAVID L. SMITH'],"['""MIDDLEMARCH"": ELIOT\'S TENDER SUBVERSION']",['20010901'],"['Language & Literature', 'Humanities']",10.2307/42827730,4b1f236f-3135-3f7f-b40c-06e7d0e5f309,['georelioghlstud'],George Eliot - George Henry Lewes Studies,2001
http://www.jstor.org/stable/2933477,['George Levine'],"[""George Eliot's Hypothesis of Reality""]",['19800601'],"['Language & Literature', 'Humanities']",10.2307/2933477,5365a837-b90c-37d6-a65d-b36737478db4,['ninecentfict'],Nineteenth-Century Fiction,1980
http://www.jstor.org/stable/2873079,['Wendell V. Harris'],['Bakhtinian Double Voicing in Dickens and Eliot'],['19900701'],"['Language & Literature', 'Humanities']",10.2307/2873079,260e180d-e932-3291-b7f0-ca9ba8a26bf6,['elh'],ELH,1990
http://www.jstor.org/stable/2932968,['John P. McGowan'],"[""The Turn of George Eliot's Realism""]",['19800901'],"['Language & Literature', 'Humanities']",10.2307/2932968,443d90e9-a7d3-309d-b036-2ee475a0b889,['ninecentfict'],Nineteenth-Century Fiction,1980
http://www.jstor.org/stable/42827900,['NICOLE M. COONRADT'],"['WRITING MARY GARTH: LOCATING MIDDLE GROUND AMONG FEMALE CHARACTERS IN GEORGE ELIOT\'S ""MIDDLEMARCH""']",['20120901'],"['Language & Literature', 'Humanities']",10.2307/42827900,8a9789c8-ad8c-387a-88ef-37aab78b949f,['georelioghlstud'],George Eliot - George Henry Lewes Studies,2012
http://www.jstor.org/stable/10.1525/ncl.2001.56.2.160,['Simon Eliot'],"['""Never Mind the Value, What about the Price?""; Or, How Much Did <em>Marmion</em> Cost St. John Rivers?']",['20010901'],"['Language & Literature', 'Humanities']",10.1525/ncl.2001.56.2.160,0431ff5a-4e5a-3f5d-8ae5-03ed51769b68,['ninecentlite'],Nineteenth-Century Literature,2001
http://www.jstor.org/stable/437748,['Selma B. Brody'],"['Physics in ""Middlemarch"": Gas Molecules and Ethereal Atoms']",['19870801'],"['Language & Literature', 'Humanities']",10.2307/437748,f24920b2-ecb5-39a7-a055-90c2d5c1513d,['modernphilology'],Modern Philology,1987
http://www.jstor.org/stable/27919123,"['Suzanne Raitt', 'Claire Buck']",['Friendship and Lesbian Studies'],['20101001'],"['Language & Literature', ""Feminist & Women's Studies"", 'Humanities']",10.2307/27919123,d99491c7-6475-37fd-aa9d-59659beb2b3c,['feministstudies'],Feminist Studies,2010
http://www.jstor.org/stable/2872038,['George Levine'],"['Isabel, Gwendolen, and Dorothea']",['19630901'],"['Language & Literature', 'Humanities']",10.2307/2872038,c98fdee0-fbcd-3f85-a8e5-79e409dc1d91,['elh'],ELH,1963
http://www.jstor.org/stable/3044620,['Judith Wilt'],['Steamboat Surfacing: Scott and the English Novelists'],['19810301'],"['Language & Literature', 'Humanities']",10.2307/3044620,a4c81566-1d1c-3bd7-88a9-5c101a7dc452,['ninecentfict'],Nineteenth-Century Fiction,1981
http://www.jstor.org/stable/591341,['Andrew Travers'],['Strangers to Themselves: How Interactants Are other than They Are'],['19921201'],"['Sociology', 'Social Sciences']",10.2307/591341,187a59b8-d712-38d6-93db-90e36134e770,['britjsoci'],The British Journal of Sociology,1992
http://www.jstor.org/stable/4334358,['D. J. Smith'],['Music in the Victorian Novel'],['19630701'],"['Humanities', 'Language & Literature']",10.2307/4334358,a663d519-d0c6-315e-8918-c16a60e1737a,['kenyrevi'],,1963
http://www.jstor.org/stable/2933096,['George Levine'],,['19770301'],"['Language & Literature', 'Humanities']",10.2307/2933096,bb916631-f27b-3e59-beb7-ed346da4b39a,['ninecentfict'],Nineteenth-Century Fiction,1977
http://www.jstor.org/stable/23539270,['Bernard Crick'],['Orwell and Biography'],['19871001'],"['Language & Literature', 'History', 'History', 'Humanities']",10.2307/23539270,ad21823d-8d11-349c-afa1-4b613dd2ab79,['biography'],Biography,1987
http://www.jstor.org/stable/3751142,['Frances Berenson'],"[""What Is This Thing Called 'Love'?""]",['19910101'],"['Humanities', 'Philosophy']",10.2307/3751142,2a7d98f9-abe0-308c-bfce-d50a1a9db58e,['philosophy'],,1991
http://www.jstor.org/stable/3825796,['Robert Preyer'],"['Beyond the Liberal Imagination: Vision and Unreality in ""Daniel Deronda""']",['19600901'],"['Language & Literature', 'History', 'British Studies', 'History', 'Area Studies', 'Humanities']",10.2307/3825796,49953fd7-4bf6-3e31-a18e-a1e9b79e74f1,['victorianstudies'],Victorian Studies,1960
http://www.jstor.org/stable/3826242,['James F. Scott'],"['George Eliot, Positivism, and the Social Vision of ""Middlemarch""']",['19720901'],"['Language & Literature', 'History', 'British Studies', 'History', 'Area Studies', 'Humanities']",10.2307/3826242,071a9fdf-2f63-3e65-adad-3f9af320614a,['victorianstudies'],Victorian Studies,1972
http://www.jstor.org/stable/2932697,['Richard S. Lyons'],['The Method of Middlemarch'],['19660601'],"['Language & Literature', 'Humanities']",10.2307/2932697,bc9047a4-dc2a-32a4-ae60-decd1534f45c,['ninecentfict'],Nineteenth-Century Fiction,1966
http://www.jstor.org/stable/40754482,['Jane S. Smith'],['The Reader as Part of the Fiction: Middlemarch'],['19770701'],"['Language & Literature', 'Humanities']",10.2307/40754482,ef12c01b-c42d-39b8-84dd-d00e6538143c,['texastudlitelang'],Texas Studies in Literature and Language,1977
http://www.jstor.org/stable/10.1525/ncl.2012.66.4.494,['Cara Weber'],['“The Continuity of Married Companionship”'],['20120301'],"['Language & Literature', 'Humanities']",10.1525/ncl.2012.66.4.494,42eedce9-f419-317e-9637-ba29a3871490,['ninecentlite'],Nineteenth-Century Literature,2012
http://www.jstor.org/stable/3828324,['Jeff Nunokawa'],"['The Miser\'s Two Bodies: ""Silas Marner"" and the Sexual Possibilities of the Commodity']",['19930401'],"['Language & Literature', 'History', 'British Studies', 'History', 'Area Studies', 'Humanities']",10.2307/3828324,cca52f22-7702-3501-b2cb-343118eed53e,['victorianstudies'],Victorian Studies,1993
http://www.jstor.org/stable/23099626,['PATRICK BRANTLINGER'],"['Romances, Novels, and Psychoanalysis']",['19750101'],"['Humanities', 'Language & Literature']",10.2307/23099626,5673376c-1b4d-3c66-8c2a-eabce7dec352,['criticism'],,1975
